Generated by WizTree 4.31 5/17/2026 12:58:44 PM (You can hide this message by making a donation)
Extension,File Type,Percent,Size,Allocated,Files
".dll","Application extension",21.869,86380866529,66961346560,84534
".vhdx","Hard Disk Image File",12.344,37794873344,37794873344,1
".cfa","CFA File",8.317,25467289600,25467289600,268
"","(No Extension)",5.970,18203741493,18279448576,151841
".msp","Windows Installer Patch",5.963,18258496512,18258501632,58
".exe","Application",4.242,14667889496,12990058496,10935
".msi","Windows Installer Package",2.938,8994362162,8994394112,612
".iso","Disc Image File",2.767,8471603200,8471609344,1
".bin","BIN File",1.975,6104810229,6048477184,11003
".psolib","PSOLIB File",1.871,5717798776,5729673216,5770
".lib","Object File Library",1.834,9270304654,5616549888,6172
".mp4","MP4 File",1.574,6456898237,4819968000,474
".odl","Interface Definition Language File",1.521,8137982238,4657590272,7790
".db","DB File",1.519,4651514606,4651364352,502
".ipch","IPCH File",1.434,4391960576,4391960576,87
".vsix","Microsoft Visual Studio Extension",1.199,3669029277,3670667264,733
".zip","Compressed (zipped) Folder",1.172,9190255423,3587629056,198
".png","PNG File",1.157,3597620548,3541159936,94109
".wav","WAV File",1.148,3448257983,3514073088,106417
".body","BODY File",1.037,3176015742,3176710144,341
".pack","PACK File",1.011,3095426507,3095642112,112
".js","JSFile",0.850,3105548940,2602901504,40382
".sys","System file",0.747,2797159483,2286428160,2530
".cab","Cabinet File",0.732,2327092194,2241024000,482
".pak","PAK File",0.634,3072845752,1941544960,3487
".json","JSON Source File",0.540,1923864390,1652797440,36127
".so","SO File",0.525,1934594636,1606377472,1295
".log","Text Document",0.516,1611069973,1579225088,7032
".pyc","Compiled Python File",0.494,2599742025,1513050112,210740
".dylib","DYLIB File",0.484,1483433302,1483489280,34
".py","Python Source File",0.469,2465232542,1436585984,228312
".dat","DAT File",0.434,1960007198,1328967680,5541
".xml","Microsoft Edge HTML Document",0.404,1596884261,1238188032,27540
".jar","JAR File",0.380,1162051229,1163022336,477
".a","A File",0.364,1120493774,1116012544,1321
".nvph","NVPH File",0.362,1107247104,1107247104,141
".f2","F2 File",0.360,1103579121,1103585280,6
".pdb","Program Debug Database",0.348,1198454916,1064300544,2688
".conda","CONDA File",0.335,1024284757,1025413120,542
".h","H File",0.276,1155819316,845860864,114654
".pyd","Python Extension Module",0.237,2656177355,726003712,4886
".ttf","TrueType font file",0.226,942235702,691503104,2388
".gz","WinRAR",0.222,699369960,681000960,17348
".bhc","BHC File",0.198,602571058,605216768,1373
".vhd","VHD File",0.174,533984256,533991424,2
".cs","C# Source File",0.169,433862411,518209536,46516
".cat","Security Catalog",0.157,712586355,479399936,18812
".jpeg","JPEG File",0.147,496413817,448602112,54060
".map","Linker Address Map",0.145,621228216,444620800,1655
".pri","PRI File",0.139,624967814,426471424,2326
".ttc","TrueType collection font file",0.139,649798795,424394752,50
".evtx","Event Log",0.138,421449728,421449728,237
".onnxe","ONNXE File",0.135,784417704,414478336,10
".hpp","HPP File",0.122,611099944,373460992,62912
".etl","Windows Performance Analyzer Trace File",0.121,371518969,370651136,1135
".ort","ORT File",0.115,353563120,353566720,2
".nupkg","Compressed Archive Folder",0.111,338627025,338673664,20
".rcc","RCC File",0.110,336965270,337014784,34
".jpg","JPG File",0.103,824705062,315420672,3147
".txt","Text Document",0.100,352885954,306753536,12465
".html","Chrome HTML Document",0.094,293608057,286785536,7929
".mui","MUI File",0.093,411801721,283975680,18297
".onnx","ONNX File",0.092,285800681,282394624,38
".webm","WEBM File",0.092,305484198,280743936,606
".edb","EDB File",0.090,274989056,274661376,9
".dag","DAG File",0.089,273163776,273195008,15
".dmp","Memory Dump File",0.089,272584013,272617472,16
".onemodel","ONEMODEL File",0.076,233815140,233816064,4
".gif","GIF File",0.076,284965341,231628800,1973
".mogrt","MOGRT File",0.073,224864117,225030144,77
".lkg","LKG File",0.070,213427488,213438464,5
".svg","Microsoft Edge HTML Document",0.069,213722870,212774912,21144
".vdm","VDM File",0.069,410130840,211509248,8
".trtpkg","TRTPKG File",0.069,210212156,210247680,17
".mun","MUN File",0.066,459205344,202473472,604
".fbx","FBX File",0.065,197430873,198565888,545
".hyper","Tableau Extract",0.064,197132288,196673536,17
".ldb","Microsoft Access Record-Locking Information",0.060,184026137,184594432,271
".shadergraph","SHADERGRAPH File",0.057,170906936,175042560,1891
".css","CSS Source File",0.057,204433456,174878720,3554
".old","OLD File",0.056,171677092,171593728,1099
".rll","Application extension",0.055,169691504,169586688,110
".1","1 File",0.054,193539632,166748160,581
".data","DATA File",0.054,755735006,165793792,1700
".pek","PEK File",0.052,157957112,158978048,364
".tflite","TFLITE File",0.052,158255169,158330880,36
".winmd","WINMD File",0.051,219929051,155463680,2243
".asset","ASSET File",0.044,131161496,133779456,1370
".5-win32-x64","5-WIN32-X64 File",0.043,131876105,131878912,1
".api","API File",0.042,128193687,128282624,52
".lex","Dictionary File",0.042,160668245,127242240,41
".pma","PMA File",0.040,123281528,123891712,367
".shadersubgraph","SHADERSUBGRAPH File",0.040,119949876,123408384,1649
".unitypackage","Unity package file",0.040,122943820,122957824,16
".db-wal","DB-WAL File",0.040,120611040,121073664,71
".solv","SOLV File",0.038,117666868,117702656,18
".tmp","TMP File",0.038,47377054,115494912,214
".osp","OSP File",0.037,114342236,114376704,20
".resjson","RESJSON File",0.037,113304911,114212864,501
".wasm","WASM File",0.034,110235187,105418752,75
".manifest","MANIFEST File",0.034,45916119,105340928,40350
".bundle","BUNDLE File",0.034,119974116,104783872,56
".appxbundle","APPXBUNDLE File",0.033,100697364,100700160,1
".log1","LOG1 File",0.033,100475715,100536320,616
".2-win32-x64","2-WIN32-X64 File",0.032,96925352,96927744,1
".node","NODE File",0.028,86511344,86650880,75
".rsp","RSP File",0.028,81296037,86532096,2579
".qm","QM File",0.028,109292946,84819968,1292
".pt","PT File",0.027,83459698,83496960,22
".dds","DirectDraw Surface File",0.027,82864616,82907136,21
".payloads","PAYLOADS File",0.027,82425924,82452480,15
".jmod","JMOD File",0.025,76837830,77000704,71
".pdf","Adobe Acrobat Document",0.024,130005670,73957376,448
".14-win32-x64","14-WIN32-X64 File",0.024,73575236,73576448,1
".pm","Perl Module Source File",0.024,63964470,73003008,4928
".meta","META File",0.024,68496931,72724480,87353
".log2","LOG2 File",0.023,71609344,71614464,614
".parc","PARC File",0.021,64187672,65769472,1315
".4","4 File",0.021,65387899,65404928,116
".tgz","WinRAR",0.021,164315460,65318912,3
".spd","SPD File",0.021,65213172,65220608,2
".psb","PSB File",0.021,64898535,64983040,40
".79","79 File",0.021,63451136,63451136,1
".unity","Unity scene file",0.020,60987970,62259200,576
".h5","H5 File",0.020,63966868,61472768,207
".oab","OAB File",0.020,60161832,60174336,12
".md","Markdown Source File",0.020,43391698,59916288,9850
".7e","7E File",0.019,59123520,59125760,1
".idx","IDX File",0.019,57706186,58073088,198
".inf","Setup Information",0.018,117771846,56123392,3029
".anim","ANIM File",0.018,54975558,55263232,149
".ngr","NGR File",0.018,108962120,54489088,10
".xls","Microsoft Excel 97-2003 Worksheet",0.018,57934336,54472704,26
".c","C Source File",0.017,96339061,53116928,1648
".csv","Microsoft Excel Comma Separated Values File",0.017,94097127,52154368,1328
".exr","EXR File",0.017,51242375,51838976,216
".67","67 File",0.017,51291960,51294208,1
".dll1","DLL1 File",0.017,51245056,51257344,8
".webp","WEBP File",0.017,50612950,51122176,267
".gbc","GBC File",0.017,48264408,51068928,1464
".ost","Outlook Data File",0.016,50315264,50315264,2
".ico","ICO File",0.016,60705489,49917952,984
".prefab","PREFAB File",0.016,47601156,49803264,1316
".regtrans-ms","REGTRANS-MS File",0.016,49283072,49283072,49
".thmx","Microsoft Office Theme",0.016,49080789,49139712,30
".vfs","VFS File",0.016,49017114,49020928,2
".xrm-ms","XrML Digital License",0.016,50436349,48988160,3562
".mp3","MP3 File",0.016,68665335,48111616,296
".hyb","HYB File",0.015,45716744,47247360,1344
".scenetemplate","SCENETEMPLATE File",0.015,47127354,47157248,20
".pyi","Python Source File",0.015,65940061,46960640,22515
".obj","Object File",0.015,50817552,46288896,1535
".tflx","Tableau Flow File",0.015,46064847,46116864,28
".6","6 File",0.015,45852220,45871104,67
".psd","PSD File",0.015,52987579,45715456,295
".orp","ORP File",0.015,44705798,44490752,3
".a0","A0 File",0.014,44173920,44175360,1
".gdb","GDB File",0.014,44017657,44019712,5
".0","0 File",0.013,45067460,40517632,535
".mo","MO File",0.013,50807196,39563264,1576
".mum","MUM File",0.013,22658139,38875136,6061
".bak","BAK File",0.013,39090522,38580224,96
".cpp","C++ Source File",0.012,38226868,37789696,3100
".dpv","DPV File",0.012,36920000,37040128,65
".npz","NPZ File",0.012,76909815,36827136,198
".srd","SRD File",0.012,36700160,36700160,2
".otf","OpenType font file",0.011,34252300,34287616,140
".appx","APPX File",0.011,36041355,34172928,16
".nls","NLS File",0.011,76504598,33787904,331
".php","PHP File",0.011,26590669,33669120,3795
".cm","CM File",0.011,33325296,33337344,8
".index","INDEX File",0.011,33283482,33284096,58
".idl","Interface Definition Language File",0.011,31330199,33267712,953
".opc","Microsoft Clean-up Wizard File",0.011,32985917,32989184,1
".asar","ASAR File",0.011,32606467,32616448,4
".pimx","PIMX File",0.011,31942902,32256000,196
".pnf","Precompiled Setup Information",0.011,31128964,32206848,527
".tga","TGA File",0.011,30771021,32178176,730
".xsd","XML Schema File",0.010,33135028,31981568,751
".com","MS-DOS Application",0.010,26016630,31576064,5510
".2","2 File",0.010,31247118,31272960,149
".mgc","MGC File",0.010,31071600,31076352,3
".mof","MOF File",0.010,79283162,30887936,1434
".efi","EFI File",0.010,59817810,30162944,29
".whl","Python Wheel",0.009,42256889,28811264,39
".xz","WinRAR",0.009,28620412,28696576,69
".kef","KEF File",0.009,27313037,27320320,5
".pod","Perl POD Source File",0.009,24219047,26574848,1381
".80","80 File",0.009,26247452,26251264,1
".archive","ARCHIVE File",0.009,25981402,26112000,60
".chm","Compiled HTML Help file",0.008,36177152,25419776,84
".sym","SYM File",0.008,25384447,25387008,2
".po","PO File",0.008,44103707,25096192,1493
".jsa","JSA File",0.008,25034752,25034752,2
".info","INFO File",0.008,24425337,24981504,232
".bz2","WinRAR",0.008,31017538,24817664,232
".fst","FST File",0.008,24428204,24449024,11
".sdb","SDB File",0.008,54146376,24338432,66
".twbx","Tableau Packaged Workbook",0.008,24169827,24223744,29
".nrr","NRR File",0.008,24130484,24162304,15
".hlsl","HLSL Source",0.008,19512088,24064000,2443
".am","AM File",0.008,47321340,23691264,16
".sav","SAV File",0.008,24702846,23453696,260
".m","Objective C Source File",0.007,22846807,22937600,35
".accde","Microsoft Access ACCDE Database",0.007,22728704,22728704,3
".enc","ENC File",0.007,28316211,22487040,1109
".tlb","TLB File",0.007,43850936,22454272,434
".rtf","Rich Text Format",0.007,26746472,22417408,347
".jrs","JRS File",0.007,22282240,22282240,24
".ini","Configuration settings",0.007,40907277,21757952,1227
".poc","POC File",0.007,21526734,21729280,106
".woff","WOFF File",0.007,31445964,21716992,809
".pl","Perl Source File",0.007,17612552,21614592,2066
".dotx","Microsoft Word Template",0.007,21037731,21090304,48
".3","3 File",0.007,22913931,20631552,2679
".cache","CACHE File",0.007,20414199,20459520,31
".xsl","XSLT Stylesheet",0.007,22082553,20336640,355
".htm","Chrome HTML Document",0.006,19574295,19787776,498
".ts","TS File",0.006,22197007,19570688,4693
".wmf","WMF File",0.006,16544682,19165184,1280
".apm","APM File",0.006,37747868,18886656,10
".qml","QML File",0.006,20253357,18759680,4392
".cdf-ms","CDF-MS File",0.006,6257560,18558976,3862
".pb","PB File",0.006,18488257,18530304,196
".ipynb","Jupyter Source File",0.006,27481626,18268160,1679
".potx","Microsoft PowerPoint Template",0.006,17280257,17301504,10
".table","TABLE File",0.006,49688928,17293312,67
".ocl","OCL File",0.006,15431744,17260544,765
".10","10 File",0.006,16884022,17223680,203
".nst","Outlook Data File",0.005,16818176,16818176,1
".wve","WVE File",0.005,33325918,16670720,10
".woff2","WOFF2 File",0.005,26756632,16625664,508
".vim","VIM File",0.005,13314175,16293888,1917
".pf","PF File",0.005,15587774,16244736,525
".processhost","PROCESSHOST File",0.005,16016304,16019456,1
".tcl","TCL File",0.005,19371777,15998976,2155
".pem","PEM File",0.005,21673435,15073280,189
".icc","ICC Profile",0.005,14866068,14934016,35
".properties","Properties Source File",0.005,13759183,14651392,628
".csf","CSF File",0.005,14429198,14487552,29
".1-win32-x64","1-WIN32-X64 File",0.005,14268659,14270464,2
".dlm","DLM File",0.005,28035412,14024704,10
".dectest","DECTEST File",0.005,13265203,14020608,429
".ctx","CTX File",0.004,13514043,13668352,79
".8","8 File",0.004,13649940,13631488,61
".5","5 File",0.004,13742014,13615104,66
".yaml","Yaml Source File",0.004,12040286,13549568,2653
".prmdc2","PRMDC2 File",0.004,13508608,13508608,38
".7","7 File",0.004,13369319,13377536,27
".man","MAN File",0.004,19703352,13115392,821
".ai","AI File",0.004,37730203,13074432,56
".fx","FX Source",0.004,13059595,13070336,5
".msix","MSIX File",0.004,22724049,13049856,154
".msixbundle","MSIXBUNDLE File",0.004,23414953,13045760,50
".pkl","PKL File",0.004,14438383,13045760,258
".cpl","Control panel item",0.004,21597361,12918784,122
".0-win32-x64","0-WIN32-X64 File",0.004,12702031,12709888,2
".ttc_ea675e59","TTC_EA675E59 File",0.004,12690976,12693504,1
".sdi","SDI File",0.004,41213952,12681216,13
".87","87 File",0.004,12491864,12492800,2
".xaml","Windows.XamlDocument",0.004,9581583,12238848,1330
".pptx","Microsoft PowerPoint Presentation",0.004,483287015,12161024,12
".bc","BC File",0.004,12638324,11792384,283
".ntf","NTF File",0.004,30577072,11771904,26
".hipfb","HIPFB File",0.004,22854992,11431936,4
".npy","NPY File",0.004,17918277,11374592,330
".ttc_e9e03d20","TTC_E9E03D20 File",0.004,11081164,11083776,1
".sql","SQL Source File",0.004,11217110,11005952,1092
".cor","COR File",0.004,16200342,10846208,36
".hve","HVE File",0.004,10747904,10747904,1
".cmake","CMake Source File",0.004,13009073,10719232,3680
".inc","Include File",0.003,150225547,10543104,1838
".pyx","PYX File",0.003,22593582,10518528,671
".mat","Microsoft Access Table Shortcut",0.003,8395831,10489856,2149
".dll21","DLL21 File",0.003,10461592,10465280,1
".afphoto","AFPHOTO File",0.003,10346763,10465280,56
".traceevents","TRACEEVENTS File",0.003,10324909,10387456,29
".mfl","MFL File",0.003,31038788,10358784,708
".dic","txtfile",0.003,12295189,10117120,71
".1962-now","1962-NOW File",0.003,20023036,10018816,4
".dll_9c9d9ec9","DLL_9C9D9EC9 File",0.003,9984456,9990144,2
".targets","Project Targets File",0.003,11133885,9859072,716
".accdu","Microsoft Access Add-in Data",0.003,9850880,9850880,2
".cur","Cursor File",0.003,17081642,9543680,419
".ax","AX File",0.003,14431564,9486336,124
".ress","RESS File",0.003,9480000,9486336,3
".jtx","JTX File",0.003,9437184,9437184,3
".hbc","HBC File",0.003,9412820,9420800,4
".sip","SIP File",0.003,11750600,9216000,3264
".dag_derived","DAG_DERIVED File",0.003,9159920,9183232,15
".mdl","MDL File",0.003,32447334,9125888,260
".psm1","Windows PowerShell Script Module",0.003,13162787,9076736,385
".scr","Screen saver",0.003,11563688,8953856,36
".7c","7C File",0.003,8474624,8474624,1
".cdxml","Windows PowerShell Cmdlet Definition XML Document",0.003,14471620,8355840,1395
".digestcache","DIGESTCACHE File",0.003,8242512,8257536,7
".bmp","BMP File",0.003,9096866,8204288,242
".ps1xml","Windows PowerShell XML Document",0.003,17612752,8056832,1069
".qmltypes","QMLTYPES File",0.003,11398219,8052736,402
".rev","RAR recovery volume",0.003,7699452,7958528,112
".vec","VEC File",0.003,11844618,7946240,30
".heic","HEIC File",0.003,7696435,7700480,2
".o","O File",0.002,6471623,7610368,622
".br2","BR2 File",0.002,15021480,7512064,2
".eot","EOT File",0.002,11061880,7495680,105
".dll_exch","DLL_EXCH File",0.002,7444816,7450624,2
".lzma","LZMA File",0.002,7372264,7405568,29
".all","ALL File",0.002,14501568,7258112,4
".ttc_98e07dba","TTC_98E07DBA File",0.002,7250296,7254016,1
".mun_19f53887","MUN_19F53887 File",0.002,7159342,7159808,1
".btr","BTR File",0.002,7102464,7102464,1
".pqx","PQX File",0.002,6717507,6950912,112
".ipp","C++ Header",0.002,10757984,6897664,1460
".dls","DLS File",0.002,13762640,6889472,4
".vol","VOL File",0.002,6815744,6815744,1
".52","52 File",0.002,6802828,6803456,4
".ttf_166813d8","TTF_166813D8 File",0.002,6590840,6594560,1
".lm","LM File",0.002,9455130,6590464,5
".d","D File",0.002,5957964,6557696,337
".adoc","ADOC File",0.002,5151931,6520832,860
".merged","MERGED File",0.002,6422528,6422528,30
".ctb","CTB File",0.002,12227204,6406144,242
".acrodata","ACRODATA File",0.002,6330279,6332416,3
".mkv","MKV File",0.002,31446560,6295552,20
".hxs","Microsoft Help Compiled Storage File",0.002,6254032,6287360,19
".odf","ODF File",0.002,6269288,6275072,3
".sii","SII File",0.002,8325533,6258688,171
".translation","TRANSLATION File",0.002,6215891,6254592,17
".ljp","LJP File",0.002,6155550,6217728,30
".nus","NUS File",0.002,12361904,6193152,10
".ibd","IBD File",0.002,6127616,6127616,62
".msc","Microsoft Common Console Document",0.002,18635075,6066176,209
".x3d","X3D File",0.002,5944080,5959680,10
".globalconfig","GLOBALCONFIG File",0.002,3511362,5890048,1120
".exe_0fb0ab79","EXE_0FB0AB79 File",0.002,5868196,5869568,1
".tif","TIF File",0.002,6404172,5779456,137
".db3","DB3 File",0.002,5773312,5775360,3
".jsx","JavaScript Source File",0.002,5284171,5758976,253
".shader","SHADER File",0.002,4225707,5726208,713
".template","TEMPLATE File",0.002,2601051,5627904,1382
".crt","Security Certificate",0.002,5500332,5554176,41
".config","CONFIG File",0.002,4277069,5554176,965
".fon","Font file",0.002,10242560,5525504,384
".ocx","ActiveX control",0.002,8514485,5505024,46
".wesproj","WESPROJ File",0.002,5468337,5496832,12
".dll_0d29dca9","DLL_0D29DCA9 File",0.002,5428908,5435392,2
".aux","AUX File",0.002,3187796,5423104,1115
".sample","SAMPLE File",0.002,3172958,5382144,1666
".pc","PC File",0.002,1027088,5320704,1669
".ps1","Windows PowerShell Script",0.002,8431316,5230592,1186
".p7x","P7X File",0.002,5456312,5148672,491
".avi","AVI File",0.002,5108466,5136384,11
".afm","AFM File",0.002,8788346,5111808,375
